LAS,WN,0.00,,0.00
LAS,WN,14.00,,0.00
LAS,WN,2.00,,0.00
LAS,WN,97.00,8.00,0.00
LAS,WN,34.00,3.00,0.00
LAS,WN,16.00,,0.00
LAS,WN,63.00,23.00,0.00
LAS,WN,15.00,,0.00
LAS,WN,59.00,19.00,0.00
LAS,WN,1.00,,0.00
LAS,WN,1.00,,0.00
LAS,WN,45.00,2.00,0.00
LAS,WN,26.00,18.00,0.00
LAS,WN,69.00,0.00,0.00
LAS,WN,4.00,,0.00
LAS,WN,36.00,9.00,0.00
LAS,WN,69.00,48.00,0.00
LAS,WN,1.00,,0.00
LAS,WN,63.00,17.00,0.00
LAS,WN,38.00,20.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,51.00,4.00,0.00
LAS,WN,211.00,114.00,0.00
LAS,WN,14.00,,0.00
LAS,WN,10.00,,0.00
LAS,WN,16.00,,0.00
LAS,WN,56.00,1.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,9.00,9.00,0.00
LAS,WN,4.00,,0.00
LAS,WN,23.00,18.00,0.00
LAS,WN,47.00,7.00,0.00
LAS,WN,3.00,,0.00
LAS,WN,11.00,,0.00
LAS,WN,69.00,10.00,0.00
LAS,WN,10.00,10.00,0.00
LAS,WN,1.00,,0.00
LAS,WN,17.00,,0.00
LAS,WN,77.00,0.00,0.00
LAS,WN,117.00,0.00,0.00
LAS,WN,30.00,7.00,0.00
LAS,WN,14.00,,0.00
LAS,WN,27.00,2.00,0.00
LAS,WN,35.00,10.00,0.00
LAS,WN,9.00,,0.00
LAS,WN,27.00,,0.00
LAS,WN,65.00,50.00,0.00
LAS,WN,49.00,12.00,0.00
LAS,WN,10.00,,0.00
LAS,WN,9.00,,0.00
LAS,WN,41.00,17.00,0.00
LAS,WN,30.00,6.00,0.00
LAS,WN,275.00,0.00,0.00
LAS,WN,39.00,32.00,0.00
LAS,WN,52.00,13.00,0.00
LAS,WN,23.00,0.00,0.00
LAS,WN,17.00,,0.00
LAS,WN,26.00,18.00,0.00
LAS,WN,16.00,16.00,0.00
LAS,WN,61.00,61.00,0.00
LAS,WN,4.00,,0.00
LAS,WN,0.00,,0.00
LAS,WN,15.00,10.00,0.00
LAS,WN,0.00,,0.00
LAS,WN,28.00,0.00,0.00
LAS,WN,42.00,15.00,0.00
LAS,WN,38.00,13.00,0.00
LAS,WN,3.00,,0.00
LAS,WN,3.00,,0.00
LAS,WN,47.00,25.00,0.00
LAS,WN,9.00,,0.00
LAS,WN,30.00,27.00,0.00
LAS,WN,16.00,1.00,0.00
LAS,WN,73.00,14.00,0.00
LAS,WN,58.00,4.00,0.00
